,AAPL,MSFT,NVDA
2002-11-25,85.52737381550162,91.07500411738565,30.279846840158584
2002-11-26,85.51428228379983,91.07365691276694,30.284950333168492
2002-11-27,85.50124010789477,91.07228796850781,30.290006060538357
2002-11-28,85.48824579123139,91.07089804975826,30.295012603446537
2002-11-29,85.47529783725464,91.06948792166838,30.29996854307139
2002-11-30,85.46239474940947,91.06805834938821,30.30487246059127
2002-12-01,85.44953503114078,91.06661009806776,30.30972293718453
2002-12-02,85.43671718589351,91.06514393285711,30.314518554029544
2002-12-03,85.42393971711267,91.0636606189063,30.319257892304652
2002-12-04,85.41120112824315,91.06216092136533,30.323939533188216
2002-12-05,85.39849992272988,91.06064560538431,30.328562057858594
2002-12-06,85.38583460401782,91.05911543611325,30.33312404749414
2002-12-07,85.37320367555192,91.05757117870218,30.33762408327322
2002-12-08,85.3606056407771,91.05601359830116,30.342060746374177
2002-12-09,85.34803900313831,91.05444346006026,30.34643261797538
2002-12-10,85.33550226608048,91.05286152912947,30.350738279255175
2002-12-11,85.32299393304858,91.05126857065888,30.35497631139193
2002-12-12,85.3105125074875,91.0496653497985,30.359145295563987
2002-12-13,85.29805649284225,91.04805263169841,30.363243812949722
2002-12-14,85.2856243925577,91.04643118150861,30.36727044472748
2002-12-15,85.27321471007883,91.04480176437919,30.371223772075616
2002-12-16,85.2608259488506,91.04316514546015,30.375102376172496
2002-12-17,85.2484566123179,91.04152208990156,30.378904838196473
2002-12-18,85.23610520392569,91.03987336285347,30.3826297393259
2002-12-19,85.22377022711892,91.03821972946591,30.38627566073914
2002-12-20,85.21145018534253,91.03656195488891,30.389841183614546
2002-12-21,85.19914358204146,91.03490080427254,30.393324889130472
2002-12-22,85.18684892066065,91.03323704276684,30.39672535846528
2002-12-23,85.17456470464504,91.03157143552183,30.400041172797327
2002-12-24,85.16228943743955,91.0299047476876,30.40327091330497
2002-12-25,85.15002162248915,91.02823774441416,30.406413161166558
2002-12-26,85.13775976323878,91.02657119085156,30.40946649756046
2002-12-27,85.12550236313335,91.02490585214981,30.412429503665024
2002-12-28,85.11324792561784,91.02324249345902,30.41530076065861
2002-12-29,85.10099495413718,91.02158187992922,30.418078849719574
2002-12-30,85.08874195213627,91.01992477671038,30.42076235202628
2002-12-31,85.07648742306012,91.01827194895263,30.423349848757077
2003-01-01,85.0642298703536,91.016624161806,30.42583992109032
2003-01-02,85.05196779746171,91.01498218042049,30.42823115020437
2003-01-03,85.03969970782936,91.01334676994618,30.430522117277583
2003-01-04,85.0274241049015,91.0117186955331,30.43271140348832
2003-01-05,85.01513949212305,91.0100987223313,30.434797590014927
2003-01-06,85.00284437293898,91.00848761549084,30.436779258035774
2003-01-07,84.99053725079422,91.00688614016173,30.43865498872921
2003-01-08,84.9782166291337,91.00529506149402,30.440423363273595
2003-01-09,84.96588101140237,91.00371514463778,30.442082962847284
2003-01-10,84.95352890104517,91.00214715474306,30.443632368628634
2003-01-11,84.94115880150704,91.00059185695986,30.445070161796004
2003-01-12,84.92876921623294,90.99905001643823,30.446394923527752
2003-01-13,84.91635864866777,90.99752239832824,30.44760523500223
2003-01-14,84.90392560225649,90.99600976777994,30.448699677397798
2003-01-15,84.89146858044407,90.99451288994334,30.449676831892813
2003-01-16,84.8789860866754,90.9930325299685,30.45053527966563
2003-01-17,84.86647662439546,90.99156945300547,30.451273601894606
2003-01-18,84.85393869704916,90.99012442420428,30.4518903797581
2003-01-19,84.84137080808148,90.988698208715,30.452384194434465
2003-01-20,84.82877146093732,90.98729157168765,30.452753627102062
2003-01-21,84.81613915906162,90.98590527827228,30.45299725893925
2003-01-22,84.80347240589936,90.98454009361893,30.453113671124378
2003-01-23,84.79076970489547,90.98319678287767,30.453101444835813
2003-01-24,84.77802955949485,90.98187611119852,30.4529591612519
2003-01-25,84.76525047314249,90.9805788437315,30.45268540155101
2003-01-26,84.75243094928331,90.9793057456267,30.452278746911485
2003-01-27,84.73956949136223,90.97805758203414,30.451737778511692
2003-01-28,84.72666460282424,90.97683511810386,30.451061077529985
2003-01-29,84.71371478711424,90.97563911898592,30.45024722514472
2003-01-30,84.70071854767717,90.97447034983036,30.449294802534258
2003-01-31,84.687674387958,90.97332957578719,30.44820239087695
2003-02-01,84.67458081140167,90.97221756200652,30.446968571351153
2003-02-02,84.66143632145308,90.97113507363835,30.445591925135233
2003-02-03,84.6482394215572,90.97008287583272,30.444071033407532
2003-02-04,84.63498861515897,90.9690617337397,30.44240447734642
2003-02-05,84.62168240570333,90.96807241250931,30.44059083813025
2003-02-06,84.60831929663522,90.96711567729159,30.43862869693738
2003-02-07,84.59489779139957,90.9661922932366,30.436516634946166
2003-02-08,84.58141639344133,90.9653030254944,30.434253233334957
2003-02-09,84.56787360620544,90.96444863921501,30.43183707328212
2003-02-10,84.55426793313686,90.96362989954848,30.42926673596601
2003-02-11,84.54059787768048,90.96284757164484,30.426540802564983
2003-02-12,84.52686194328129,90.96210242065416,30.423657854257392
2003-02-13,84.51305863338419,90.96139521172645,30.4206164722216
2003-02-14,84.49918645143418,90.9607267100118,30.41741523763596
2003-02-15,84.48524390087616,90.96009768066021,30.414052731678833
2003-02-16,84.47122948515504,90.95950888882173,30.410527535528573
2003-02-17,84.45714170771582,90.95896109964644,30.406838230363533
2003-02-18,84.44297907200341,90.95845507828437,30.402983397362075
2003-02-19,84.42874008146276,90.95799158988552,30.398961617702557
2003-02-20,84.4144232395388,90.95757139959998,30.394771472563335
2003-02-21,84.40002704967648,90.95719527257779,30.390411543122767
2003-02-22,84.38555001532075,90.95686397396896,30.3858804105592
2003-02-23,84.37099063991654,90.9565782689236,30.381176656051004
2003-02-24,84.35634742690878,90.95633892259168,30.37629886077653
2003-02-25,84.3416188797424,90.9561467001233,30.371245605914133
2003-02-26,84.32680350186239,90.95600236666846,30.366015472642164
2003-02-27,84.31189979671366,90.95590668737724,30.360607042139
2003-02-28,84.29690626774115,90.95586042739967,30.35501889558298
2003-03-01,84.28182141838978,90.95586435188578,30.34924961415247
2003-03-02,84.26666284839433,90.95590760655008,30.34329809507696
2003-03-03,84.25149192324069,90.9559528422756,30.33716525497864
2003-03-04,84.23631361453651,90.95599717501793,30.330852527597298
2003-03-05,84.22112815178096,90.95604061154759,30.324361319991027
2003-03-06,84.20593576447322,90.95608315863508,30.317693039217936
2003-03-07,84.1907366821125,90.9561248230509,30.310849092336127
2003-03-08,84.17553113419791,90.95616561156552,30.303830886403702
2003-03-09,84.16031935022863,90.95620553094948,30.296639828478767
2003-03-10,84.14510155970386,90.95624458797319,30.289277325619423
2003-03-11,84.12987799212274,90.95628278940723,30.28174478488377
2003-03-12,84.11464887698449,90.95632014202205,30.274043613329912
2003-03-13,84.09941444378823,90.95635665258814,30.266175218015952
2003-03-14,84.08417492203316,90.95639232787599,30.258141005999992
2003-03-15,84.06893054121842,90.95642717465613,30.249942384340137
2003-03-16,84.05368153084322,90.95646119969902,30.24158076009449
2003-03-17,84.03842812040672,90.95649440977516,30.23305754032115
2003-03-18,84.0231705394081,90.95652681165502,30.22437413207822
2003-03-19,84.0079090173465,90.95655841210915,30.215531942423805
2003-03-20,83.99264378372112,90.956589217908,30.206532378416007
2003-03-21,83.97737506803111,90.95661923582209,30.19737684711293
2003-03-22,83.96210309977567,90.95664847262186,30.188066755572677
2003-03-23,83.94682810845393,90.95667693507785,30.178603510853346
2003-03-24,83.93155032356512,90.95670462996056,30.168988520013045
2003-03-25,83.91626997460835,90.95673156404045,30.159223190109874
2003-03-26,83.90098729108283,90.95675774408802,30.149308928201933
2003-03-27,83.88570250248772,90.95678317687378,30.13924714134733
2003-03-28,83.87041583832219,90.95680786916822,30.129039236604168
2003-03-29,83.85512752808542,90.95683182774182,30.118686621030548
2003-03-30,83.83983780127656,90.95685505936507,30.108190701684574
2003-03-31,83.82454688739482,90.95687757080849,30.09755288562434
2003-04-01,83.80925501593931,90.95689936884254,30.086774579907956
2003-04-02,83.79396241640926,90.95692046023775,30.075857191593528
2003-04-03,83.77866931830383,90.95694085176457,30.064802127739153
2003-04-04,83.76337595112217,90.95696055019351,30.05361079540294
2003-04-05,83.74808254436348,90.9569795622951,30.04228460164298
2003-04-06,83.7327893275269,90.95699789483979,30.03082495351739
2003-04-07,83.71749653011162,90.95701555459806,30.01923325808426
2003-04-08,83.7022043816168,90.95703254834044,30.0075109224017
2003-04-09,83.68691311154164,90.95704888283741,29.99565935352781
2003-04-10,83.67162294938527,90.95706456485946,29.9836799585207
2003-04-11,83.65633412464688,90.95707960117709,29.97157414443846
2003-04-12,83.64104686682565,90.95709399856078,29.9593433183392
2003-04-13,83.62576140542075,90.95710776378105,29.946988887281023
2003-04-14,83.61047796993134,90.95712090360836,29.93451225832203
2003-04-15,83.5951967898566,90.95713342481321,29.921914838520326
2003-04-16,83.57991809469571,90.95714533416611,29.90919803493402
2003-04-17,83.56464211394781,90.95715663843755,29.896363254621193
2003-04-18,83.54936907711212,90.95716734439803,29.883411904639964
2003-04-19,83.53409921368777,90.957177458818,29.87034539204844
2003-04-20,83.51883275317394,90.95718698846798,29.85716512390471
2003-04-21,83.50356992506981,90.95719594011848,29.843872507266887
2003-04-22,83.48831095887454,90.95720432053999,29.83046894919307
2003-04-23,83.47305608408732,90.95721213650297,29.816955856741362
2003-04-24,83.4578055302073,90.95721939477795,29.803334636969865
2003-04-25,83.44255952673367,90.95722610213541,29.789606696936684
2003-04-26,83.42731830316559,90.95723226534582,29.77577344369992
2003-04-27,83.41208208900225,90.9572378911797,29.76183628431767
2003-04-28,83.3968511137428,90.95724298640754,29.74779662584805
2003-04-29,83.3816256068864,90.95724755779985,29.733655875349154
2003-04-30,83.36640579793226,90.95725161212708,29.719415439879082
2003-05-01,83.35119191637952,90.95725515615973,29.705076726495946
2003-05-02,83.33598419172738,90.95725819666833,29.69064114225784
2003-05-03,83.32078285347498,90.95726074042335,29.676110094222867
2003-05-04,83.30558813112151,90.95726279419529,29.661484989449136
2003-05-05,83.29040025416613,90.95726436475461,29.64676723499475
2003-05-06,83.27521945210802,90.95726545887186,29.631958237917807
2003-05-07,83.26004595444634,90.95726608331749,29.617059405276404
2003-05-08,83.24487999068029,90.95726624486203,29.60207214412866
2003-05-09,83.22972179030901,90.95726595027591,29.58699786153266
2003-05-10,83.2145715828317,90.95726520632968,29.571837964546518
2003-05-11,83.19942959774748,90.95726401979383,29.556593860228332
2003-05-12,83.18429606455558,90.95726239743883,29.541266955636214
2003-05-13,83.16917121275517,90.95726034603516,29.525858657828252
2003-05-14,83.15405527184538,90.95725787235337,29.510370373862553
2003-05-15,83.13894847132539,90.95725498316388,29.494803510797226
2003-05-16,83.12385104069439,90.95725168523725,29.479159475690373
2003-05-17,83.10876320945155,90.95724798534393,29.463439675600092
2003-05-18,83.09368520709603,90.95724389025442,29.447645517584483
